Filename,Source_Path,Status,Colony_Count,Raw_Colony_Count,Too_Many_To_Count,Too_Many_To_Count_Limit,Count_Stopped_Early,Manual_Count,Count_Error,Percent_Error,Detection_Sensitivity,Colony_Size,Split_Touching,Detected_Polarity,Auto_Threshold,Threshold_Sweep,Accepted_Threshold_Components,Binary_Threshold,Erosion_Iterations,Min_Solidity,Min_Colony_Area,Max_Colony_Area,Diagnostics_Path,Colonies_Debug_CSV,Output_Path
conc1_high_10^-4.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_high_10^-4.jpg,Success,44,44,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,44,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_high_10^-4_colonies_counted.png
WT(1)10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/WT(1)10^-2.jpg,Success,162,162,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,162,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/WT(1)10^-2_colonies_counted.png
WT(2)10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/WT(2)10^-2.jpg,Success,257,257,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,257,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/WT(2)10^-2_colonies_counted.png
WT(3)10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/WT(3)10^-2.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/WT(3)10^-2_colonies_counted.png
conc1_high_10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_high_10^-2.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_high_10^-2_colonies_counted.png
conc1_high_10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_high_10^-3.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_high_10^-3_colonies_counted.png
conc1_low_10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_low_10^-2.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_low_10^-2_colonies_counted.png
conc1_low_10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_low_10^-3.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_low_10^-3_colonies_counted.png
conc1_low_10^-4.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_low_10^-4.jpg,Success,30,30,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,30,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_low_10^-4_colonies_counted.png
conc2_high_10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc2_high_10^-3.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc2_high_10^-3_colonies_counted.png
conc2_high_10^-4.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc2_high_10^-4.jpg,Success,29,29,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,29,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc2_high_10^-4_colonies_counted.png
conc2_low_10^-0.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc2_low_10^-0.jpg,Success,0,0,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,0,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc2_low_10^-0_colonies_counted.png
conc2_low_10^-4.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc2_low_10^-4.jpg,Success,40,40,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,40,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc2_low_10^-4_colonies_counted.png
conc3_high_10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc3_high_10^-3.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc3_high_10^-3_colonies_counted.png
conc3_high_10^-4.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc3_high_10^-4.jpg,Success,53,53,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,53,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc3_high_10^-4_colonies_counted.png
conc3_high_10^0.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc3_high_10^0.jpg,Success,0,0,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,0,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc3_high_10^0_colonies_counted.png
conc3_low_10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc3_low_10^-2.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc3_low_10^-2_colonies_counted.png
conc3_low_10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc3_low_10^-3.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc3_low_10^-3_colonies_counted.png
conc3_low_10^-4(1).jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc3_low_10^-4(1).jpg,Success,40,40,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,40,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc3_low_10^-4(1)_colonies_counted.png
conc3_low_10^-4.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc3_low_10^-4.jpg,Success,40,40,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,40,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc3_low_10^-4_colonies_counted.png
fur(3)10^-2.jpg.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/fur(3)10^-2.jpg.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/fur(3)10^-2.jpg_colonies_counted.png
photo-1687180109576-663e3e8df7bd.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/photo-1687180109576-663e3e8df7bd.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/photo-1687180109576-663e3e8df7bd_colonies_counted.png
tonB(2)10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/tonB(2)10^-3.jpg,Success,34,34,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,34,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/tonB(2)10^-3_colonies_counted.png
tonB(3)10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/tonB(3)10^-2.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/tonB(3)10^-2_colonies_counted.png
